zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
b_featured_audiobooks_from_spotify1,0.0017123287671232876,0.015570934256055362,0.01540849999265315,0.02760249352152701,0.009603927170365376,1,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
b_featured_audiobooks_from_spotify2,0.0017123287671232876,0.01903114186851211,0.011990628917569255,0.016601465087480376,0.008001915393137549,2,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
b_featured_concerts1,0.01032448377581121,0.07816711590296496,0.03273557930636551,0.025825409651744298,0.02353289668988068,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_concerts2,0.008849557522123894,0.02425876010781671,0.018788421190032028,0.017313164569013,0.0085158354148907,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_concerts_from_veeps1,0.001694915254237288,0.003590664272890485,0.003945120435041236,0.0031515412463815687,0.0030424010169675868,1,253,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.1856377,2318.2341
b_featured_concerts_from_veeps2,0.001694915254237288,0.0017543859649122807,0.0022369133271926242,0.002393918449053019,0.0008625121603749268,2,253,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.1856377,2318.2341
b_featured_hbo_max1,0.3952802359882006,0.6172506738544474,0.7105271528316491,0.4951518247311472,0.16159217861586753,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.7530309,547.99133
b_featured_hbo_max2,0.3421828908554572,0.5512129380053908,0.6191261529704367,0.43489111047712753,0.1379824953247175,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.7530309,547.99133
b_featured_hbo_max_tv_shows1,0.6386430678466076,0.8099730458221024,1.3420178277940982,0.9260203859462212,0.6875418314742109,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,0,1,0,1.0156076,739.07214
b_featured_hbo_max_tv_shows2,0.23303834808259588,0.47035040431266845,0.481056101630957,0.3934453681520681,0.11853046036681916,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,0,1,0,0.6344391,461.6904
b_featured_max1,0.003552397868561279,0.05628517823639775,0.03696297952280694,0.05355998261393024,0.020465039822766786,1,277,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.11011344,80.13113
b_featured_max2,0.0017761989342806395,0.030797101449275364,0.012612399720270706,0.04142512823936332,0.01128338708708101,2,277,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.7962087,1307.1268
b_featured_movies_from_a241,0.0016339869281045752,0.01877133105802048,0.011436925393400776,0.03297987702905437,0.01023172526622488,1,226,0.0,0.0,2,0,5,0,0,1,0,0,0,0,0.0,0.0
b_featured_movies_from_a242,0.003424657534246575,0.012110726643598616,0.009774731659319724,0.015149025444663991,0.005453481895400779,2,250,0.0,0.0,2,0,5,0,0,1,0,0,0,0,0.0,0.0
b_featured_peacock1,0.308259587020649,0.38544474393531,0.5513653651446452,0.41273006998514605,0.1929888404659476,10,8,290144.0145626278,1.0,2,0,5,0,0,0,0,1,0,0,0.6528089,475.05838
b_featured_peacock2,0.42625368731563423,0.35175202156334234,0.6585956265103674,0.47924042871733474,0.28263245174328777,6,8,476711.0813453686,1.0,2,0,5,0,0,0,0,1,0,0,0.774945,563.9386
b_featured_peacock_tv_shows1,0.18141592920353983,0.2223719676549865,0.30871459346505886,0.23240353183066018,0.11550318735440246,9,8,290144.0145626278,1.0,2,0,5,0,0,0,0,0,1,0,0.5592476,406.97247
b_featured_peacock_tv_shows2,0.504424778761062,0.40970350404312667,0.4235651359947938,0.31662426113458597,0.14646406418085434,5,8,476711.0813453686,1.0,2,0,5,0,0,0,0,0,1,0,0.71064246,517.14465
b_featured_playlists_from_spotify1,0.017123287671232876,0.09515570934256055,0.06871819686914071,0.1860987482661951,0.035638782755492905,1,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,21.35809,15542.587
b_featured_playlists_from_spotify2,0.015410958904109588,0.08996539792387544,0.05505207692968039,0.10593067130592186,0.027657929246586443,2,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,21.35809,15542.587
b_featured_podcasts_from_spotify1,0.010273972602739725,0.06228373702422145,0.020613966334171247,0.04417102612260352,0.019328272101345426,1,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
b_featured_podcasts_from_spotify2,0.003424657534246575,0.01384083044982699,0.010517673501279011,0.024491694064684783,0.006049503879792602,2,250,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
b_featured_spotify1,0.03982300884955752,0.04986522911051213,0.05133891766401496,0.042232079765411386,0.009698415440910525,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_spotify2,0.025073746312684365,0.03504043126684636,0.032134981226252114,0.02545474474981302,0.007285407675803298,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_spotify_audiobooks1,0.02359882005899705,0.0026954177897574125,0.013279639333645793,0.013843404896300811,0.00861191053980369,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_spotify_audiobooks2,0.0058997050147492625,0.0026954177897574125,0.008414781183989568,0.0073485878057236945,0.005982374474963437,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_spotify_playlists1,0.09292035398230089,0.0862533692722372,0.11350616490280037,0.08997273227722048,0.026114709780137153,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
